,Theme,FeatureVector,WordVector
RNA,Science,[0.02173913 0.         0.         ... 0.         0.         0.        ],"['ribonucleic', 'acid', 'rna', 'polymeric', 'molecule', 'essential', 'various', 'biological', 'role', 'cod', 'decode', 'regulation', 'expression', 'gene', 'rna', 'deoxyribonucleic', 'acid', 'dna', 'nucleic', 'acid', 'along', 'lipid', 'protein', 'carbohydrate', 'nucleic', 'acid', 'constitute', 'one', 'four', 'major', 'macromolecule', 'essential', 'know', 'form', 'life', 'like', 'dna', 'rna', 'assemble', 'chain', 'nucleotide', 'unlike', 'dna', 'rna', 'find', 'nature', 'single', 'strand', 'fold', 'onto', 'rather', 'pair', 'double', 'strand', 'cellular', 'organism', 'use', 'messenger', 'rna', 'mrna', 'convey', 'genetic', 'information', 'use', 'nitrogenous', 'base', 'guanine', 'uracil', 'adenine', 'cytosine', 'denote', 'letter', 'g', 'u', 'c', 'directs', 'synthesis', 'specific', 'protein', 'many', 'virus', 'encode', 'genetic', 'information', 'use', 'rna', 'genome', 'rna', 'molecule', 'play', 'active', 'role', 'within', 'cell', 'catalyze', 'biological', 'reaction', 'control', 'gene', 'expression', 'sense', 'communicate', 'response', 'cellular', 'signal', 'one', 'active', 'process', 'protein', 'synthesis', 'universal', 'function', 'rna', 'molecule', 'direct', 'synthesis', 'proteins', 'ribosome', 'process', 'us', 'transfer', 'rna', 'trna', 'molecule', 'deliver', 'amino', 'acid', 'ribosome', 'ribosomal', 'rna', 'rrna', 'link', 'amino', 'acid', 'together', 'form', 'cod', 'protein']"
Road,Technology,[0.03508772 0.03508772 0.         ... 0.         0.         0.        ],"['road', 'linear', 'way', 'conveyance', 'traffic', 'mostly', 'improve', 'surface', 'use', 'vehicle', 'motorize', 'non', 'motorize', 'pedestrian', 'unlike', 'street', 'main', 'function', 'road', 'transportation', 'many', 'type', 'road', 'include', 'parkway', 'avenues', 'control', 'access', 'highway', 'freeways', 'motorway', 'expressways', 'tollways', 'interstate', 'highway', 'thoroughfare', 'local', 'road', 'primary', 'feature', 'road', 'include', 'lane', 'sidewalk', 'pavement', 'roadway', 'carriageway', 'median', 'shoulder', 'verge', 'bike', 'paths', 'cycle', 'path', 'share', 'use', 'path']"
Roald Amundsen,People,[0. 0. 0. ... 0. 0. 0.],"['roald', 'engelbregt', 'gravning', 'amundsen', 'uk', 'u', 'norwegian', 'ˈrùːɑɫ', 'ˈɑ̂mʉnsən', 'listen', '16', 'july', '1872', '–', 'c', '18', 'june', '1928', 'norwegian', 'explorer', 'polar', 'region', 'key', 'figure', 'period', 'know', 'heroic', 'age', 'antarctic', 'exploration', 'bear', 'borge', 'østfold', 'norway', 'amundsen', 'begin', 'career', 'polar', 'explorer', 'first', 'mate', 'adrien', 'de', 'gerlache', 'belgian', 'antarctic', 'expedition', '1897–1899', '1903', '1906', 'lead', 'first', 'expedition', 'successfully', 'traverse', 'northwest', 'passage', 'sloop', 'gjøa', '1909', 'amundsen', 'begin', 'plan', 'south', 'pole', 'expedition', 'leave', 'norway', 'june', '1910', 'ship', 'fram', 'reach', 'antarctica', 'january', '1911', 'party', 'establish', 'camp', 'bay', 'whale', 'series', 'supply', 'depots', 'barrier', 'know', 'ross', 'ice', 'shelf', 'set', 'pole', 'october', 'party', 'five', 'lead', 'amundsen', 'become', 'first', 'successfully', 'reach', 'south', 'pole', '14', 'december', '1911', 'follow', 'fail', 'attempt', '1918', 'reach', 'north', 'pole', 'traversing', 'northeast', 'passage', 'ship', 'maud', 'amundsen', 'begin', 'plan', 'aerial', 'expedition', 'instead', '12', 'may', '1926', 'amundsen', '15', 'men', 'airship', 'norge', 'become', 'first', 'explorer', 'verify', 'reach', 'north', 'pole', 'amundsen', 'disappear', 'june', '1928', 'fly', 'rescue', 'mission', 'airship', 'italia', 'arctic', 'search', 'remain', 'found', 'call', 'september', 'year']"
Robotics,Technology,[0.01895735 0.00473934 0.00473934 ... 0.         0.         0.        ],"['robotics', 'interdisciplinary', 'branchof', 'computer', 'science', 'engineering', 'robotics', 'involve', 'design', 'construction', 'operation', 'use', 'robot', 'goal', 'robotics', 'design', 'machine', 'help', 'assist', 'human', 'robotics', 'integrates', 'field', 'mechanical', 'engineering', 'electrical', 'engineering', 'information', 'engineering', 'mechatronics', 'electronics', 'bioengineering', 'computer', 'engineering', 'control', 'engineering', 'software', 'engineering', 'mathematics', 'etc', 'robotics', 'develops', 'machine', 'substitute', 'human', 'replicate', 'human', 'action', 'robot', 'use', 'many', 'situation', 'many', 'purpose', 'today', 'many', 'use', 'dangerous', 'environment', 'include', 'inspection', 'radioactive', 'material', 'bomb', 'detection', 'deactivation', 'manufacturing', 'process', 'human', 'survive', 'e', 'g', 'space', 'underwater', 'high', 'heat', 'clean', 'containment', 'hazardous', 'material', 'radiation', 'robot', 'take', 'form', 'make', 'resemble', 'human', 'appearance', 'claim', 'help', 'acceptance', 'robot', 'certain', 'replicative', 'behavior', 'usually', 'perform', 'people', 'robot', 'attempt', 'replicate', 'walk', 'lift', 'speech', 'cognition', 'human', 'activity', 'many', 'today', 'robot', 'inspire', 'nature', 'contribute', 'field', 'bio', 'inspire', 'robotics', 'certain', 'robot', 'require', 'user', 'input', 'operate', 'robot', 'function', 'autonomously', 'concept', 'create', 'robots', 'operate', 'autonomously', 'date', 'back', 'classical', 'time', 'research', 'functionality', 'potential', 'us', 'robots', 'grow', 'substantially', '20th', 'century', 'throughout', 'history', 'frequently', 'assume', 'various', 'scholar', 'inventor', 'engineer', 'technician', 'robots', 'one', 'day', 'able', 'mimic', 'human', 'behavior', 'manage', 'task', 'human', 'like', 'fashion', 'today', 'robotics', 'rapidly', 'grow', 'field', 'technological', 'advance', 'continue', 'research', 'design', 'build', 'new', 'robot', 'serve', 'various', 'practical', 'purpose', 'whether', 'domestically', 'commercially', 'militarily', 'many', 'robot', 'build', 'job', 'hazardous', 'people', 'defuse', 'bombs', 'find', 'survivor', 'unstable', 'ruin', 'explore', 'mine', 'shipwreck', 'robotics', 'also', 'use', 'stem', 'science', 'technology', 'engineering', 'mathematics', 'teach', 'aid']"
Rock (geology),Science,[0.00657895 0.02631579 0.         ... 0.         0.         0.        ],"['geology', 'rock', 'stone', 'naturally', 'occur', 'solid', 'mass', 'aggregate', 'mineral', 'mineraloid', 'matter', 'categorize', 'mineral', 'include', 'chemical', 'composition', 'way', 'form', 'rock', 'form', 'earth', 'outer', 'solid', 'layer', 'crust', 'interior', 'except', 'liquid', 'outer', 'core', 'pocket', 'magma', 'asthenosphere', 'study', 'rock', 'involve', 'multiple', 'subdisciplines', 'geology', 'include', 'petrology', 'mineralogy', 'may', 'limit', 'rock', 'find', 'earth', 'may', 'include', 'planetary', 'geology', 'study', 'rock', 'celestial', 'object', 'rock', 'usually', 'group', 'three', 'main', 'group', 'igneous', 'rock', 'sedimentary', 'rock', 'metamorphic', 'rock', 'igneous', 'rock', 'form', 'magma', 'cool', 'earth', 'crust', 'lava', 'cool', 'ground', 'surface', 'seabed', 'sedimentary', 'rock', 'form', 'diagenesis', 'lithification', 'sediment', 'turn', 'form', 'weather', 'transport', 'deposition', 'exist', 'rock', 'metamorphic', 'rock', 'form', 'exist', 'rock', 'subject', 'high', 'pressure', 'temperature', 'transform', 'without', 'significant', 'melting', 'humanity', 'make', 'use', 'rock', 'since', 'early', 'human', 'early', 'period', 'call', 'stone', 'age', 'saw', 'development', 'many', 'stone', 'tool', 'stone', 'used', 'major', 'component', 'construction', 'building', 'early', 'infrastructure', 'mining', 'develop', 'extract', 'rock', 'earth', 'obtain', 'mineral', 'within', 'include', 'metal', 'modern', 'technology', 'allow', 'development', 'new', 'man', 'make', 'rock', 'rock', 'like', 'substance', 'concrete']"
Rock music,Arts,[0.00578035 0.01156069 0.00867052 ... 0.         0.         0.        ],"['rock', 'music', 'broad', 'genre', 'popular', 'music', 'originate', 'rock', 'roll', 'united', 'state', 'late', '1940s', 'early', '1950s', 'develop', 'range', 'different', 'style', 'mid', '1960s', 'later', 'particularly', 'united', 'state', 'united', 'kingdom', 'root', '1940s', '1950s', 'rock', 'roll', 'style', 'draw', 'directly', 'blue', 'rhythm', 'blue', 'genre', 'african', 'american', 'music', 'country', 'music', 'rock', 'music', 'also', 'draw', 'strongly', 'number', 'genre', 'electric', 'blue', 'folk', 'incorporate', 'influence', 'jazz', 'classical', 'musical', 'style', 'instrumentation', 'rock', 'center', 'electric', 'guitar', 'usually', 'part', 'rock', 'group', 'electric', 'bass', 'drum', 'one', 'singer', 'usually', 'rock', 'song', 'base', 'music', '44', 'time', 'signature', 'use', 'verse–chorus', 'form', 'genre', 'become', 'extremely', 'diverse', 'like', 'pop', 'music', 'lyric', 'often', 'stress', 'romantic', 'love', 'also', 'address', 'wide', 'variety', 'theme', 'frequently', 'social', 'political', 'rock', 'musician', 'mid', '1960s', 'begin', 'advance', 'album', 'ahead', 'single', 'dominant', 'form', 'record', 'music', 'expression', 'consumption', 'beatles', 'forefront', 'development', 'contribution', 'lend', 'genre', 'cultural', 'legitimacy', 'mainstream', 'initiate', 'rock', 'inform', 'album', 'era', 'music', 'industry', 'next', 'several', 'decade', 'late', '1960s', 'classic', 'rock', 'period', 'number', 'distinct', 'rock', 'music', 'subgenres', 'emerge', 'include', 'hybrid', 'like', 'blue', 'rock', 'folk', 'rock', 'country', 'rock', 'southern', 'rock', 'raga', 'rock', 'jazz', 'rock', 'many', 'contribute', 'development', 'psychedelic', 'rock', 'influence', 'countercultural', 'psychedelic', 'hippie', 'scene', 'new', 'genre', 'emerge', 'included', 'progressive', 'rock', 'extend', 'artistic', 'element', 'glam', 'rock', 'highlight', 'showmanship', 'visual', 'style', 'diverse', 'endure', 'subgenre', 'heavy', 'metal', 'emphasize', 'volume', 'power', 'speed', 'second', 'half', '1970s', 'punk', 'rock', 'react', 'produce', 'strip', 'energetic', 'social', 'political', 'critique', 'punk', 'influence', '1980s', 'new', 'wave', 'post', 'punk', 'eventually', 'alternative', 'rock', '1990s', 'alternative', 'rock', 'begin', 'dominate', 'rock', 'music', 'break', 'mainstream', 'form', 'grunge', 'britpop', 'indie', 'rock', 'fusion', 'subgenres', 'since', 'emerge', 'include', 'pop', 'punk', 'electronic', 'rock', 'rap', 'rock', 'rap', 'metal', 'well', 'conscious', 'attempt', 'revisit', 'rock', 'history', 'include', 'garage', 'rock', 'post', 'punk', 'techno', 'pop', 'revival', '2000s', '2010s', 'saw', 'slow', 'decline', 'rock', 'music', 'mainstream', 'popularity', 'cultural', 'relevancy', 'hip', 'hop', 'surpass', 'popular', 'genre', 'united', 'state', 'rock', 'music', 'also', 'embody', 'serve', 'vehicle', 'cultural', 'social', 'movement', 'lead', 'major', 'subculture', 'include', 'mod', 'rocker', 'united', 'kingdom', 'hippie', 'counterculture', 'spread', 'san', 'francisco', 'u', '1960s', 'similarly', '1970s', 'punk', 'culture', 'spawn', 'goth', 'punk', 'emo', 'subculture', 'inherit', 'folk', 'tradition', 'protest', 'song', 'rock', 'music', 'associate', 'political', 'activism', 'well', 'change', 'social', 'attitude', 'race', 'sex', 'drug', 'use', 'often', 'see', 'expression', 'youth', 'revolt', 'adult', 'consumerism', 'conformity', 'time', 'commercially', 'highly', 'successful', 'lead', 'charge', 'sell']"
Rocket,Technology,[0.01877934 0.00469484 0.         ... 0.         0.         0.        ],"['rocket', 'italian', 'rocchetto', 'light', 'bobbin', 'spool', 'spacecraft', 'aircraft', 'vehicle', 'projectile', 'obtain', 'thrust', 'rocket', 'engine', 'rocket', 'engine', 'exhaust', 'form', 'entirely', 'propellant', 'carry', 'within', 'rocket', 'rocket', 'engine', 'work', 'action', 'reaction', 'push', 'rocket', 'forward', 'simply', 'expel', 'exhaust', 'opposite', 'direction', 'high', 'speed', 'therefore', 'work', 'vacuum', 'space', 'fact', 'rocket', 'work', 'efficiently', 'vacuum', 'space', 'atmosphere', 'multistage', 'rocket', 'capable', 'attain', 'escape', 'velocity', 'earth', 'therefore', 'achieve', 'unlimited', 'maximum', 'altitude', 'compare', 'airbreathing', 'engine', 'rocket', 'lightweight', 'powerful', 'capable', 'generate', 'large', 'acceleration', 'control', 'flight', 'rocket', 'rely', 'momentum', 'airfoil', 'auxiliary', 'reaction', 'engine', 'gimballed', 'thrust', 'momentum', 'wheel', 'deflection', 'exhaust', 'stream', 'propellant', 'flow', 'spin', 'gravity', 'rocket', 'military', 'recreational', 'us', 'date', 'back', 'least', '13th', 'century', 'china', 'significant', 'scientific', 'interplanetary', 'industrial', 'use', 'occur', '20th', 'century', 'rocketry', 'enable', 'technology', 'space', 'age', 'include', 'set', 'foot', 'moon', 'rocket', 'use', 'firework', 'missile', 'weaponry', 'ejection', 'seat', 'launch', 'vehicle', 'artificial', 'satellite', 'human', 'spaceflight', 'space', 'exploration', 'chemical', 'rocket', 'common', 'type', 'high', 'power', 'rocket', 'typically', 'create', 'high', 'speed', 'exhaust', 'combustion', 'fuel', 'oxidizer', 'store', 'propellant', 'simple', 'pressurize', 'gas', 'single', 'liquid', 'fuel', 'disassociate', 'presence', 'catalyst', 'monopropellant', 'two', 'liquid', 'spontaneously', 'react', 'contact', 'hypergolic', 'propellant', 'two', 'liquid', 'must', 'ignite', 'react', 'like', 'kerosene', 'rp1', 'liquid', 'oxygen', 'use', 'liquid', 'propellant', 'rocket', 'solid', 'combination', 'fuel', 'oxidizer', 'solid', 'fuel', 'solid', 'fuel', 'liquid', 'gaseous', 'oxidizer', 'hybrid', 'propellant', 'system', 'chemical', 'rocket', 'store', 'large', 'amount', 'energy', 'easily', 'release', 'form', 'dangerous', 'however', 'careful', 'design', 'test', 'construction', 'use', 'minimize', 'risk']"
Rocky Mountains,Geography,[0.         0.00406504 0.00406504 ... 0.         0.         0.        ],"['rocky', 'mountain', 'also', 'know', 'rockies', 'major', 'mountain', 'range', 'large', 'mountain', 'system', 'north', 'america', 'rocky', 'mountain', 'stretch', '3', '000', 'mi', '4', '800', 'km', 'straight', 'line', 'distance', 'northernmost', 'part', 'western', 'canada', 'new', 'mexico', 'southwestern', 'united', 'state', 'depend', 'differ', 'definition', 'canada', 'united', 'state', 'northern', 'terminus', 'locate', 'either', 'northern', 'british', 'columbia', 'terminal', 'range', 'south', 'liard', 'river', 'east', 'trench', 'northeastern', 'foothill', 'brook', 'range', 'british', 'mountain', 'face', 'beaufort', 'sea', 'coast', 'can', 'river', 'firth', 'river', 'across', 'alaska', 'yukon', 'border', 'southernmost', 'point', 'near', 'albuquerque', 'area', 'adjacent', 'rio', 'grande', 'rift', 'north', 'sandia–manzano', 'mountain', 'range', 'easternmost', 'portion', 'north', 'american', 'cordillera', 'rockies', 'distinct', 'tectonically', 'young', 'cascade', 'range', 'sierra', 'nevada', 'lie', 'far', 'west', 'rocky', 'mountain', 'form', '80', 'million', '55', 'million', 'year', 'ago', 'laramide', 'orogeny', 'number', 'plate', 'begin', 'slide', 'underneath', 'north', 'american', 'plate', 'angle', 'subduction', 'shallow', 'result', 'broad', 'belt', 'mountain', 'run', 'western', 'north', 'america', 'since', 'tectonic', 'activity', 'erosion', 'glacier', 'sculpt', 'rockies', 'dramatic', 'peak', 'valley', 'end', 'last', 'ice', 'age', 'human', 'begin', 'inhabit', 'mountain', 'range', 'exploration', 'range', 'european', 'sir', 'alexander', 'mackenzie', 'anglo', 'american', 'lewis', 'clark', 'expedition', 'natural', 'resource', 'mineral', 'fur', 'drive', 'initial', 'economic', 'exploitation', 'mountain', 'although', 'range', 'never', 'experience', 'dense', 'population', '100', 'high', 'major', 'peak', 'rocky', 'mountain', '78', 'include', '30', 'high', 'locate', 'colorado', 'ten', 'wyoming', 'six', 'new', 'mexico', 'three', 'montana', 'one', 'utah', 'british', 'columbia', 'idaho', '50', 'prominent', 'summit', 'rocky', 'mountains', '12', 'located', 'british', 'columbia', '12', 'montana', 'ten', 'alberta', 'eight', 'colorado', 'four', 'wyoming', 'three', 'utah', 'three', 'idaho', 'one', 'new', 'mexico', 'public', 'park', 'forest', 'land', 'protect', 'much', 'mountain', 'range', 'popular', 'tourist', 'destination', 'especially', 'hike', 'camp', 'mountaineer', 'fish', 'hunt', 'mountain', 'biking', 'snowmobile', 'ski', 'snowboard']"
Rodent,Science,[0.00796813 0.01593625 0.00398406 ... 0.         0.         0.        ],"['rodent', 'latin', 'rodere', 'gnaw', 'mammal', 'order', 'rodentia', 'characterize', 'single', 'pair', 'continuously', 'grow', 'incisor', 'upper', 'low', 'jaw', '40', 'mammal', 'specie', 'rodent', 'native', 'major', 'land', 'mass', 'except', 'new', 'zealand', 'antarctica', 'several', 'oceanic', 'island', 'though', 'subsequently', 'introduce', 'land', 'mass', 'human', 'activity', 'rodent', 'extremely', 'diverse', 'ecology', 'lifestyle', 'find', 'almost', 'every', 'terrestrial', 'habitat', 'include', 'human', 'make', 'environment', 'specie', 'arboreal', 'fossorial', 'burrow', 'saltatorial', 'richochetal', 'leaping', 'hind', 'legs', 'semiaquatic', 'however', 'rodent', 'share', 'several', 'morphological', 'feature', 'include', 'single', 'upper', 'low', 'pair', 'ever', 'grow', 'incisor', 'well', 'know', 'rodent', 'include', 'mice', 'rat', 'squirrel', 'prairie', 'dog', 'porcupine', 'beaver', 'guinea', 'pig', 'hamster', 'rabbit', 'hare', 'pikas', 'whose', 'incisor', 'also', 'grow', 'continually', 'two', 'pair', 'upper', 'incisor', 'instead', 'one', 'include', 'consider', 'separate', 'order', 'lagomorpha', 'nonetheless', 'rodentia', 'lagomorpha', 'sister', 'group', 'share', 'single', 'common', 'ancestor', 'form', 'clade', 'glires', 'rodents', 'small', 'animal', 'robust', 'body', 'short', 'limb', 'long', 'tail', 'use', 'sharp', 'incisor', 'gnaw', 'food', 'excavate', 'burrow', 'defend', 'eat', 'seed', 'plant', 'material', 'vary', 'diet', 'tend', 'social', 'animal', 'many', 'specie', 'live', 'society', 'complex', 'way', 'communicate', 'mating', 'among', 'rodent', 'vary', 'monogamy', 'polygyny', 'promiscuity', 'many', 'litter', 'underdevelop', 'altricial', 'young', 'others', 'precocial', 'relatively', 'well', 'developed', 'birth', 'rodent', 'fossil', 'record', 'date', 'back', 'paleocene', 'supercontinent', 'laurasia', 'rodent', 'greatly', 'diversify', 'eocene', 'spread', 'across', 'continent', 'sometimes', 'even', 'cross', 'ocean', 'rodent', 'reach', 'south', 'america', 'madagascar', 'africa', 'arrival', 'homo', 'sapiens', 'terrestrial', 'placental', 'mammal', 'reach', 'colonize', 'australia', 'rodent', 'use', 'food', 'clothe', 'pet', 'laboratory', 'animal', 'research', 'species', 'particular', 'brown', 'rat', 'black', 'rat', 'house', 'mouse', 'serious', 'pest', 'eat', 'spoil', 'food', 'store', 'human', 'spread', 'disease', 'accidentally', 'introduce', 'specie', 'rodent', 'often', 'consider', 'invasive', 'cause', 'extinction', 'numerous', 'specie', 'island', 'bird', 'dodo', 'example', 'previously', 'isolate', 'land', 'base', 'predator']"
Romanticism,Arts,[0.         0.0044843  0.01793722 ... 0.         0.         0.        ],"['romanticism', 'also', 'know', 'romantic', 'movement', 'romantic', 'era', 'artistic', 'literary', 'musical', 'intellectual', 'movement', 'originate', 'europe', 'towards', 'end', '18th', 'century', 'area', 'peak', 'approximate', 'period', '1800', '1850', 'romanticism', 'characterize', 'emphasis', 'emotion', 'individualism', 'clandestine', 'literature', 'idealization', 'nature', 'suspicion', 'science', 'industrialization', 'glorification', 'past', 'strong', 'preference', 'medieval', 'rather', 'classical', 'partly', 'reaction', 'industrial', 'revolution', 'social', 'political', 'norm', 'age', 'enlightenment', 'scientific', 'rationalization', 'nature', 'embody', 'strongly', 'visual', 'art', 'music', 'literature', 'major', 'impact', 'historiography', 'education', 'chess', 'social', 'science', 'natural', 'science', 'significant', 'complex', 'effect', 'politics', 'romantic', 'thinker', 'influence', 'conservatism', 'liberalism', 'radicalism', 'nationalism', 'movement', 'emphasize', 'intense', 'emotion', 'authentic', 'source', 'aesthetic', 'experience', 'place', 'new', 'emphasis', 'emotion', 'fear', 'horror', 'terror', 'awe', '—', 'especially', 'experience', 'confront', 'new', 'aesthetic', 'category', 'sublime', 'beauty', 'nature', 'elevate', 'folk', 'art', 'ancient', 'custom', 'something', 'noble', 'also', 'spontaneity', 'desirable', 'characteristic', 'musical', 'impromptu', 'contrast', 'rationalism', 'classicism', 'enlightenment', 'romanticism', 'revive', 'medievalism', 'element', 'art', 'narrative', 'perceive', 'authentically', 'medieval', 'attempt', 'escape', 'population', 'growth', 'early', 'urban', 'sprawl', 'industrialism', 'although', 'movement', 'rooted', 'german', 'sturm', 'und', 'drang', 'movement', 'preferred', 'intuition', 'emotion', 'rationalism', 'enlightenment', 'event', 'ideology', 'french', 'revolution', 'also', 'proximate', 'factor', 'since', 'many', 'early', 'romantic', 'cultural', 'revolutionary', 'sympathetic', 'revolution', 'romanticism', 'assign', 'high', 'value', 'achievement', 'heroic', 'individualist', 'artist', 'whose', 'example', 'maintain', 'would', 'raise', 'quality', 'society', 'also', 'promote', 'individual', 'imagination', 'critical', 'authority', 'allow', 'freedom', 'classical', 'notion', 'form', 'art', 'strong', 'recourse', 'historical', 'natural', 'inevitability', 'zeitgeist', 'representation', 'idea', 'second', 'half', '19th', 'century', 'realism', 'offer', 'polar', 'opposite', 'romanticism', 'decline', 'romanticism', 'time', 'associate', 'multiple', 'process', 'include', 'social', 'political', 'change']"
Rome,Geography,[0.         0.         0.01542416 ... 0.         0.         0.        ],"['rome', 'italian', 'latin', 'rom', 'ˈroːma', 'listen', 'capital', 'city', 'italy', 'also', 'capital', 'lazio', 'region', 'centre', 'metropolitan', 'city', 'rome', 'special', 'comune', 'name', 'comune', 'di', 'roma', 'capitale', '2', '860', '009', 'resident', '1', '285', 'km2', '496', '1', 'sq', 'mi', 'rome', 'country', 'populate', 'comune', 'third', 'populous', 'city', 'european', 'union', 'population', 'within', 'city', 'limit', 'metropolitan', 'city', 'rome', 'population', '4', '355', '725', 'resident', 'populous', 'metropolitan', 'city', 'italy', 'metropolitan', 'area', 'third', 'populous', 'within', 'italy', 'rome', 'locate', 'central', 'western', 'portion', 'italian', 'peninsula', 'within', 'lazio', 'latium', 'along', 'shore', 'tiber', 'vatican', 'city', 'small', 'country', 'world', 'independent', 'country', 'inside', 'city', 'boundary', 'rome', 'exist', 'example', 'country', 'within', 'city', 'rome', 'often', 'refer', 'city', 'seven', 'hill', 'due', 'geographic', 'location', 'also', 'eternal', 'city', 'rome', 'generally', 'consider', 'cradle', 'western', 'civilization', 'christian', 'culture', 'centre', 'catholic', 'church', 'rome', 'history', 'span', '28', 'century', 'roman', 'mythology', 'date', 'found', 'rome', 'around', '753', 'bc', 'site', 'inhabit', 'much', 'longer', 'make', 'major', 'human', 'settlement', 'almost', 'three', 'millennium', 'one', 'old', 'continuously', 'occupied', 'city', 'europe', 'city', 'early', 'population', 'originate', 'mix', 'latin', 'etruscan', 'sabine', 'eventually', 'city', 'successively', 'become', 'capital', 'roman', 'kingdom', 'roman', 'republic', 'roman', 'empire', 'regard', 'many', 'first', 'ever', 'imperial', 'city', 'metropolis', 'first', 'call', 'eternal', 'city', 'latin', 'urbs', 'aeterna', 'italian', 'la', 'città', 'eterna', 'roman', 'poet', 'tibullus', '1st', 'century', 'bc', 'expression', 'also', 'take', 'ovid', 'virgil', 'livy', 'rome', 'also', 'call', 'caput', 'mundi', 'capital', 'world', 'fall', 'empire', 'west', 'mark', 'begin', 'middle', 'age', 'rome', 'slowly', 'fell', 'political', 'control', 'papacy', '8th', 'century', 'become', 'capital', 'papal', 'state', 'last', '1870', 'begin', 'renaissance', 'almost', 'pope', 'since', 'nicholas', 'v', '1447–1455', 'pursued', 'coherent', 'architectural', 'urban', 'programme', 'four', 'hundred', 'year', 'aim', 'make', 'city', 'artistic', 'cultural', 'centre', 'world', 'way', 'rome', 'become', 'first', 'one', 'major', 'centre', 'renaissance', 'birthplace', 'baroque', 'style', 'neoclassicism', 'famous', 'artist', 'painter', 'sculptor', 'architect', 'make', 'rome', 'centre', 'activity', 'create', 'masterpiece', 'throughout', 'city', '1871', 'rome', 'become', 'capital', 'kingdom', 'italy', '1946', 'become', 'italian', 'republic', '2019', 'rome', '14th', 'visit', 'city', 'world', '8', '6', 'million', 'tourist', 'third', 'visited', 'european', 'union', 'popular', 'tourist', 'destination', 'italy', 'historic', 'centre', 'list', 'unesco', 'world', 'heritage', 'site', 'host', 'city', '1960', 'summer', 'olympics', 'rome', 'also', 'seat', 'several', 'specialised', 'agency', 'unite', 'nation', 'food', 'agriculture', 'organization', 'fao', 'world', 'food', 'programme', 'wfp', 'international', 'fund', 'agricultural', 'development', 'ifad', 'city', 'also', 'host', 'secretariat', 'parliamentary', 'assembly', 'union', 'mediterranean', 'ufm', 'well', 'headquarter', 'many', 'international', 'business', 'eni', 'enel', 'tim', 'leonardo', 'p', 'national', 'international', 'bank', 'unicredit', 'bnl', 'rome', 'eur', 'business', 'district', 'home', 'many', 'oil', 'industry', 'pharmaceutical', 'industry', 'financial', 'service', 'company', 'presence', 'renowned', 'international', 'brand', 'city', 'make', 'rome', 'important', 'centre', 'fashion', 'design', 'cinecittà', 'studio', 'set', 'many', 'academy', 'award–winning', 'movie']"
Rumi,People,[0.         0.         0.01863354 ... 0.         0.         0.        ],"['jalāl', 'al', 'dīn', 'muḥammad', 'rūmī', 'persian', 'جلال\u200cالدین', 'محمد', 'رومی', 'also', 'know', 'jalāl', 'al', 'dīn', 'muḥammad', 'balkhī', 'جلال\u200cالدین', 'محمد', 'بلخى', 'mevlânâ', 'mawlānā', 'persian', 'مولانا', 'lit', 'master', 'mevlevî', 'mawlawī', 'persian', 'مولوی', 'lit', 'master', 'popularly', 'know', 'simply', 'rumi', '30', 'september', '1207', '–', '17', 'december', '1273', '13th', 'century', 'persian', 'poet', 'hanafi', 'faqih', 'islamic', 'scholar', 'maturidi', 'theologian', 'sufi', 'mystic', 'originally', 'great', 'khorasan', 'great', 'iran', 'rumi', 'influence', 'transcend', 'national', 'border', 'ethnic', 'division', 'iranian', 'tajiks', 'turk', 'greeks', 'pashtuns', 'central', 'asian', 'muslim', 'well', 'muslims', 'indian', 'subcontinent', 'greatly', 'appreciate', 'spiritual', 'legacy', 'past', 'seven', 'century', 'poems', 'widely', 'translate', 'many', 'world', 'language', 'transpose', 'various', 'format', 'rumi', 'describe', 'popular', 'poet', 'best', 'sell', 'poet', 'united', 'state', 'rumi', 'work', 'write', 'mostly', 'persian', 'occasionally', 'also', 'used', 'turkish', 'arabic', 'greek', 'verse', 'masnavi', 'mathnawi', 'compose', 'konya', 'consider', 'one', 'great', 'poem', 'persian', 'language', 'work', 'widely', 'read', 'today', 'original', 'language', 'across', 'great', 'iran', 'persian', 'speaking', 'world', 'translation', 'work', 'popular', 'notably', 'turkey', 'azerbaijan', 'united', 'state', 'south', 'asia', 'poetry', 'influence', 'persian', 'literature', 'also', 'literary', 'tradition', 'ottoman', 'turkish', 'chagatai', 'urdu', 'bengali', 'pashto', 'language']"
